lat,lon,name,capacity,region_id,station_id
35.693799,139.753281,A1-01.千代田区役所,8,1,00010001
35.701073,139.747525,A1-03.東京区政会館（メトロA5出口）,5,1,00010003
35.701347,139.746951,A1-04.東京区政会館（西側駐輪場）,7,1,00010004
35.699187,139.746348,A1-05.富士見出張所,5,1,00010005
35.699132,139.74462,A1-08.飯田橋サクラテラス（早稲田通り）,12,1,00010036
35.696449,139.750784,A1-10.ヒューリック九段ビル,6,1,00010138
35.695515,139.750213,A1-12.北の丸スクエア,7,1,00010265
35.697167,139.745629,A1-15.富士見みらい館,3,1,00010735
35.692605,139.755761,A1-17.雉子橋集積所,6,1,00001294
35.696202,139.752351,A1-18.東京区政会館別館(特別区研修所),4,1,00001061
35.694065,139.751801,A1-19.九段会館テラス,5,1,00001147
35.695762,139.761585,A2-01.神田駿河台下,56,1,00010008
35.698591,139.755113,A2-02.西神田公園（北側）,9,1,00010009
35.698338,139.754876,A2-03.西神田公園（西側）,8,1,00010010
35.691456,139.762228,A2-04.ちよだプラットフォームスクウェア,11,1,00010011
35.689665,139.764091,A2-05.神田橋公園,6,1,00010012
35.69919,139.75701,A2-06.東光電気工事 別館（屋内駐輪場）,8,1,00010028
35.700568,139.76013,A2-08.KDX御茶ノ水ビル,11,1,00010034
35.6931,139.7599,A2-09.テラススクエア,8,1,00010038
35.694532,139.760695,A2-12.神保町三井ビルディング,11,1,00010042
35.6927,139.759311,A2-14.興和一橋ビル,17,1,00010485
35.697255,139.763469,A2-16.NTT駿河台ビル,7,1,00010664
35.692396,139.75639,A2-17.竹橋ビル,10,1,00010716
35.698654,139.759762,A2-18.猿楽町SSビル東,6,1,00010835
35.698641,139.759306,A2-19.猿楽町SSビル西,6,1,00010836
35.693408,139.762809,A2-20.神田スクエア,19,1,00010900
35.694578,139.754434,A2-21.神田神保町3丁目,8,1,00010935
35.696147,139.753709,A2-22.専修大学,8,1,00010634
35.696126,139.763297,A2-23.axle御茶ノ水,7,1,00010969
35.702271,139.752619,A2-24.水道橋駅西口前,6,1,00011016
35.698991,139.76091,A2-25.プラウド神田駿河台,13,1,00000168
35.690958,139.759876,A2-27.丸紅ビル,9,1,00000490
35.6915,139.75685,A2-28.NTTコミュニケーションズ一ツ橋ビル駐車場,11,1,00001082
35.692983,139.76773,A3-01.神田児童公園（西側交番横）,6,1,00010013
